source_genesymbol	target_genesymbol	is_directed	consensus_direction	references
CALM3	TRPC1	1	1	TRIP:11290752;TRIP:11983166;TRIP:12601176
CALM1	TRPC1	1	1	TRIP:11290752;TRIP:11983166;TRIP:12601176
CALM2	TRPC1	1	1	TRIP:11290752;TRIP:11983166;TRIP:12601176
CAV1	TRPC1	1	1	DIP:19897728;HPRD:12732636;IntAct:19897728;Lit-BM-17:10980191;Lit-BM-17:19052258;Lit-BM-17:19897728;TRIP:12732636;TRIP:14551243;TRIP:16822931;TRIP:18430726;TRIP:19052258;TRIP:19351713;TRIP:19897728
DRD2	TRPC1	1	1	TRIP:18261457
MDFI	TRPC1	1	1	HPRD:14530267;TRIP:14530267;TRIP:23770672
ITPR2	TRPC1	1	1	HPRD:10970773;HPRD:11336651;TRIP:10970773;TRIP:11336651;TRIP:12196544;TRIP:15121806;TRIP:16870612;TRIP:16905188;TRIP:17681754;TRIP:18068335;TRIP:18191041;TRIP:18249094;TRIP:23228564
MARCKS	TRPC1	1	1	TRIP:24022404
GRM1	TRPC1	1	1	TRIP:14614461
STIM1	TRPC1	1	1	IntAct:19897728;IntAct:21408196;TRIP:16870612;TRIP:16906149;TRIP:17224452;TRIP:17892531;TRIP:18249094;TRIP:18326500;TRIP:18430726;TRIP:18644792;TRIP:18802022;TRIP:19332490;TRIP:19897728;TRIP:20194530;TRIP:20488539;TRIP:22446186;TRIP:22592407;TRIP:23034388;TRIP:23395841;TRIP:23686296;TRIP:24464579;TRIP:25013939
TRPC1	TRPC3	1	1	BioGRID:10199829;BioGRID:9215637;HPRD:12032305;HPRD:9215637;TRIP:10882720;TRIP:12857742;TRIP:15834157;TRIP:15972814;TRIP:17486119;TRIP:18215135;TRIP:19260825;TRIP:19502552;TRIP:21996795;TRIP:24613381;TRIP:9215637
TRPC3	TRPC1	1	1	BioGRID:10199829;BioGRID:9215637;HPRD:12032305;HPRD:9215637;TRIP:10882720;TRIP:12857742;TRIP:15834157;TRIP:15972814;TRIP:17486119;TRIP:18215135;TRIP:19260825;TRIP:19502552;TRIP:21996795;TRIP:24613381;TRIP:9215637
TRPC1	TRPC4	1	1	HPRD:12032305;Lit-BM-17:12032305;Lit-BM-17:12857742;TRIP:11301024;TRIP:12377790;TRIP:12857742;TRIP:16270640;TRIP:16418302;TRIP:16818374;TRIP:17416589;TRIP:17892531;TRIP:19307462;TRIP:19812031;TRIP:22144671;TRIP:22534489
TRPC4	TRPC1	1	1	HPRD:12032305;Lit-BM-17:12032305;Lit-BM-17:12857742;TRIP:11301024;TRIP:12377790;TRIP:12857742;TRIP:16270640;TRIP:16418302;TRIP:16818374;TRIP:17416589;TRIP:17892531;TRIP:19307462;TRIP:19812031;TRIP:22144671;TRIP:22534489
TRPC1	TRPC5	1	1	HPRD:11301024;HPRD:12032305;HPRD:12857742;Lit-BM-17:12032305;Lit-BM-17:12857742;TRIP:11301024;TRIP:12377790;TRIP:12857742;TRIP:16270640;TRIP:18356201;TRIP:21968068
TRPC5	TRPC1	1	1	HPRD:11301024;HPRD:12032305;HPRD:12857742;Lit-BM-17:12032305;Lit-BM-17:12857742;TRIP:11301024;TRIP:12377790;TRIP:12857742;TRIP:16270640;TRIP:18356201;TRIP:21968068
TRPC1	TRPC6	1	1	TRIP:12857742;TRIP:16418302;TRIP:18191041;TRIP:20660561
TRPC1	PKD2	1	1	HPRD:10097141;IntAct:10097141;IntAct:25114176;Lit-BM-17:10097141;TRIP:10097141;TRIP:14530267;TRIP:18323855;TRIP:19193631;TRIP:19850920;TRIP:20682256;TRIP:25114176
PKD2	TRPC1	1	1	HPRD:10097141;IntAct:10097141;IntAct:25114176;Lit-BM-17:10097141;TRIP:10097141;TRIP:14530267;TRIP:18323855;TRIP:19193631;TRIP:19850920;TRIP:20682256;TRIP:25114176
TRPC1	TRPV4	1	1	TRIP:20093626;TRIP:20705915;TRIP:21871867;TRIP:25114176;TRIP:25139746
TRPV4	TRPC1	1	1	TRIP:20093626;TRIP:20705915;TRIP:21871867;TRIP:25114176;TRIP:25139746
TRPC1	TRPV6	1	1	TRIP:22932896;TRIP:25172921
CALM3	TRPC3	1	1	TRIP:11248050;TRIP:11290752;TRIP:12601176;TRIP:18215135
CALM1	TRPC3	1	1	CellTalkDB:11248050;HPRD:15104175;TRIP:11248050;TRIP:11290752;TRIP:12601176;TRIP:18215135
CALM2	TRPC3	1	1	TRIP:11248050;TRIP:11290752;TRIP:12601176;TRIP:18215135
CASR	TRPC3	1	1	TRIP:22778254
EPOR	TRPC3	1	1	TRIP:18276585;TRIP:19074769;TRIP:21757714
HOMER1	TRPC3	1	1	TRIP:16887806
ITPR1	TRPC3	1	1	HPRD:11524429;HPRD:12606542;HPRD:15104175;HPRD:15623527;HPRD:9853757;TRIP:10518223;TRIP:18205297;TRIP:20022948;TRIP:20378853;TRIP:23045459
ITPR3	TRPC3	1	1	HPRD:11524429;HPRD:15623527;TRIP:10611319;TRIP:11248050;TRIP:11290752;TRIP:16887806
ASPH	TRPC3	1	1	TRIP:15302852
ORAI1	TRPC3	1	1	DIP:17360584;HPRD:17360584;TRIP:17360584;TRIP:18287061;TRIP:20022948
PRKG1	TRPC3	1	1	HPRD:14983059;KEA:14983059;ProtMapper:14983059;ProtMapper:16331690;SIGNOR:14983059;SIGNOR:16331690;TRIP:14983059;iPTMnet:14983059;iPTMnet:16331690
RNF24	TRPC3	1	1	TRIP:17850865
SRC	TRPC3	1	1	TRIP:16407161
TRPM4	TRPC3	1	1	TRIP:18262493
PKD2	TRPC3	1	1	TRIP:19812035
WNK4	TRPC3	1	1	TRIP:21670282
SLC9A3R1	TRPC4	1	1	HPRD:10980202;TRIP:10980202;TRIP:12154080;TRIP:15540229;TRIP:18048348
RNF24	TRPC4	1	1	TRIP:17850865
CABP1	TRPC5	1	1	TRIP:15895247
NCS1	TRPC5	1	1	TRIP:16469785
SESTD1	TRPC5	1	1	TRIP:20164195
TRPC5	TRPC6	1	1	TRIP:12857742;TRIP:18356201;TRIP:20660561
CALM3	TRPC6	1	1	TRIP:12379180;TRIP:15994335;TRIP:19932145
CALM1	TRPC6	1	1	TRIP:12379180;TRIP:15994335;TRIP:19932145
CALM2	TRPC6	1	1	TRIP:12379180;TRIP:15994335;TRIP:19932145
FYN	TRPC6	1	1	HPRD:14761972;TRIP:14761972
MX1	TRPC6	1	1	HPRD:15757897;Lit-BM-17:15757897;TRIP:15757897
NPHS1	TRPC6	1	1	TRIP:15924139;TRIP:22155451
PRKG1	TRPC6	1	1	ProtMapper:21402151;TRIP:18617565;TRIP:24740790
NPHS2	TRPC6	1	1	TRIP:15924139
RNF24	TRPC6	1	1	Lit-BM-17:17850865;TRIP:17850865
SNF8	TRPC6	1	1	TRIP:23171048
PRKG1	TRPC7	1	1	SIGNOR:21402151;TRIP:21402151;iPTMnet:21402151
PKD2	TRPC7	1	1	TRIP:19812035
CALM3	TRPV1	1	1	TRIP:12808128;TRIP:14699077;TRIP:19864432;TRIP:23109716
CALM1	TRPV1	1	1	HPRD:12808128;TRIP:12808128;TRIP:14699077;TRIP:19864432;TRIP:23109716
CALM2	TRPV1	1	1	TRIP:12808128;TRIP:14699077;TRIP:19864432;TRIP:23109716
CNR1	TRPV1	1	1	TRIP:23142606
